Filename                                   Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
doom-net/src/server.rs                         431                32    92.58%          22                 3    86.36%         227                20    91.19%           0                 0         -
doom-net/src/snapshot.rs                       171                 3    98.25%          16                 1    93.75%          96                 3    96.88%           0                 0         -
doom-net/src/transport.rs                      435                56    87.13%          35                 4    88.57%         302                42    86.09%           0                 0         -
doom-renderer/src/anim.rs                      967                18    98.14%          65                 0   100.00%         619                 7    98.87%           0                 0         -
doom-renderer/src/automap.rs                  1995               547    72.58%         128                25    80.47%        1407               373    73.49%           0                 0         -
doom-renderer/src/clip.rs                      269                26    90.33%          13                 0   100.00%         164                15    90.85%           0                 0         -
doom-renderer/src/colormap.rs                  351                18    94.87%          31                 3    90.32%         201                12    94.03%           0                 0         -
doom-renderer/src/column.rs                     77                 1    98.70%           5                 0   100.00%          46                 1    97.83%           0                 0         -
doom-renderer/src/flat_cache.rs                475                13    97.26%          25                 2    92.00%         248                11    95.56%           0                 0         -
doom-renderer/src/font.rs                      505                 3    99.41%          35                 0   100.00%         906                 3    99.67%           0                 0         -
doom-renderer/src/framebuffer.rs               349                30    91.40%          34                 4    88.24%         216                17    92.13%           0                 0         -
doom-renderer/src/fuzz.rs                      253                 1    99.60%          15                 0   100.00%         129                 1    99.22%           0                 0         -
doom-renderer/src/hud_messages.rs              370                 0   100.00%          27                 0   100.00%         170                 0   100.00%           0                 0         -
doom-renderer/src/intermission.rs             1045               297    71.58%          50                 5    90.00%         627               167    73.37%           0                 0         -
doom-renderer/src/lighting.rs                  596                 4    99.33%          61                 0   100.00%         356                 2    99.44%           0                 0         -
doom-renderer/src/menu_render.rs               953               271    71.56%          45                 4    91.11%         511               162    68.30%           0                 0         -
doom-renderer/src/palette.rs                   147                 7    95.24%          13                 2    84.62%          97                 6    93.81%           0                 0         -
doom-renderer/src/palette_flash.rs             548                 0   100.00%          49                 0   100.00%         320                 0   100.00%           0                 0         -
doom-renderer/src/patch_cache.rs               194                12    93.81%           7                 1    85.71%          93                 6    93.55%           0                 0         -
doom-renderer/src/render.rs                   6211               263    95.77%         196                10    94.90%        4362               156    96.42%           0                 0         -
doom-renderer/src/render_flags.rs               50                 0   100.00%           6                 0   100.00%          31                 0   100.00%           0                 0         -
doom-renderer/src/seg.rs                       458                19    95.85%          17                 0   100.00%         375                15    96.00%           0                 0         -
doom-renderer/src/sky.rs                       766                12    98.43%          47                 1    97.87%         477                11    97.69%           0                 0         -
doom-renderer/src/span.rs                       78                 1    98.72%           5                 0   100.00%          51                 1    98.04%           0                 0         -
doom-renderer/src/sprite.rs                   4652               242    94.80%         191                 4    97.91%        3074               174    94.34%           0                 0         -
doom-renderer/src/sprite_clip.rs                21                 7    66.67%           5                 2    60.00%          29                15    48.28%           0                 0         -
doom-renderer/src/sprite_lookup.rs             729                 2    99.73%          69                 0   100.00%         525                 2    99.62%           0                 0         -
doom-renderer/src/statusbar.rs                1389               109    92.15%          42                 2    95.24%         747                48    93.57%           0                 0         -
doom-renderer/src/texture.rs                   684                69    89.91%          24                 6    75.00%         393                54    86.26%           0                 0         -
doom-renderer/src/texture1_oom_test.rs           6                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
doom-renderer/src/texture_compose.rs          1749                10    99.43%         108                 0   100.00%         997                 9    99.10%           0                 0         -
doom-renderer/src/visplane.rs                  310                 4    98.71%          18                 0   100.00%         192                 4    97.92%           0                 0         -
doom-renderer/src/wad_font.rs                  120                38    68.33%          12                 2    83.33%          76                21    72.37%           0                 0         -
doom-renderer/src/weapon_anim.rs               903                23    97.45%          77                 0   100.00%         598                12    97.99%           0                 0         -
doom-renderer/src/wipe.rs                      532                 8    98.50%          30                 1    96.67%         290                 6    97.93%           0                 0         -
doom-tui/src/charset.rs                        115                 0   100.00%          11                 0   100.00%          75                 0   100.00%           0                 0         -
doom-tui/src/cogmind.rs                        655                10    98.47%          40                 0   100.00%         350                 5    98.57%           0                 0         -
doom-tui/src/event_loop.rs                     849               546    35.69%          49                25    48.98%         605               371    38.68%           0                 0         -
doom-tui/src/input.rs                          375                44    88.27%          35                 7    80.00%         253                48    81.03%           0                 0         -
doom-tui/src/scaler.rs                         261                 0   100.00%          18                 0   100.00%         122                 0   100.00%           0                 0         -
doom-tui/src/sixel.rs                          359                62    82.73%          13                 3    76.92%         212                44    79.25%           0                 0         -
doom-tui/src/widget.rs                         559                 0   100.00%          19                 0   100.00%         259                 0   100.00%           0                 0         -
doom-types/src/angle.rs                        158                 0   100.00%          25                 0   100.00%         101                 0   100.00%           0                 0         -
doom-types/src/bbox.rs                         292                 4    98.63%          16                 0   100.00%         125                 0   100.00%           0                 0         -
doom-types/src/compat.rs                        47                 0   100.00%           7                 0   100.00%          35                 0   100.00%           0                 0         -
doom-types/src/fixed.rs                        308                 3    99.03%          35                 0   100.00%         171                 3    98.25%           0                 0         -
doom-types/src/limits.rs                        13                 0   100.00%           3                 0   100.00%           9                 0   100.00%           0                 0         -
doom-types/src/primitives.rs                   117                 0   100.00%          16                 0   100.00%          66                 0   100.00%           0                 0         -
doom-types/src/vec2.rs                         112                 0   100.00%          14                 0   100.00%          74                 0   100.00%           0                 0         -
doom-types/src/weapons.rs                       34                 0   100.00%           3                 0   100.00%          19                 0   100.00%           0                 0         -
doom-wad/src/lump.rs                           155                 1    99.35%          20                 0   100.00%         113                 0   100.00%           0                 0         -
doom-wad/src/stack.rs                          499                 7    98.60%          32                 0   100.00%         282                 2    99.29%           0                 0         -
doom-wad/src/wad.rs                            927                15    98.38%          57                 0   100.00%         508                 4    99.21%           0                 0         -
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                        96193              9219    90.42%        5225               331    93.67%       63686              6242    90.20%           0                 0         -
